MANDT,VBELN,ERDAT,ERNAM,KUNNR,NETWR,VSBED,FAKSK
SC1,e2b74bb8-b473-49e9-a5e1-165f26db7547,2010-11-03 15:24:27,Tyree Decastro,961ee6a8-93b8-4e3b-a73e-580408c6ca60,1771.43,Standard Delivery,
SC1,a614f9d3-755a-496f-80b2-4f3bc69a4349,2012-01-13 05:02:13,BATCH_JOB,0f1c341e-374b-4d83-9ba5-138b925fc19f,13960.26,Airfreight,
SC1,35fb6584-b21a-42b9-83cf-3260ff6e681b,2009-10-09 01:58:57,Ward Weckerly,7afcca2e-41f2-4ed5-acd1-883e0a0175e0,1474.34,Next-Day Delivery,
SC1,8dba5697-8676-493e-8ae9-dfd826549b19,2013-09-10 12:55:39,Ward Weckerly,3e689214-7e7f-407a-a685-0fb7f1cb33e5,11980.85,Temperature-Sensitive,
SC1,18dca58a-3dfb-4e21-a4ae-87d2ec4dd965,2011-02-28 20:12:03,Lucina Boyers,58765d85-f02b-4238-90ec-87cb67bc6fb0,1865.72,Standard Delivery,
SC1,ebfba327-f8e6-4a58-8b14-9835af1c9a7f,2010-11-18 01:29:12,BATCH_JOB,a3fa7f21-4aa0-4213-99ec-9c9ea22c6ff0,3878.8,Temperature-Sensitive,
SC1,5e6e70f8-1d11-4b38-b451-9fc4741f5359,2019-09-20 18:53:09,Ward Weckerly,96dfc8b2-5a06-4eb6-a1fd-1078620240bb,3062.86,Special Handling,
SC1,dbdaf4aa-a8e6-4ca8-bed4-dc6c0cd1ecec,2012-08-07 22:57:48,Lawerence Pintor,c75b86b8-c7c8-4818-ba8c-158628d93878,12810.44,Next-Day Delivery,
SC1,63d25968-3696-4ab1-9a3b-b795aa94ffae,2011-01-17 09:41:23,Marcela Ye,8dd0779e-0f06-44bc-b1e7-244194a2ed7a,8653.77,Special Handling,
SC1,3034703d-dc0f-4a09-9687-663d425e7a48,2016-02-26 15:31:44,Lavonna Haymon,0b41910f-3a20-4ae8-bcc3-2713fbe195f2,1838.29,Express Delivery,
SC1,3594c54b-a886-40e7-9e15-2ebfff40fce4,2018-11-06 13:50:01,Anna Hulings,8f1c110f-a97b-43de-af7d-64b47d532e56,14161.92,Special Handling,
SC1,d9de0d9c-2ad4-4c25-89b4-137291d5b71c,2014-11-22 13:09:47,Emilio Sones,7b2fb7c6-9138-4632-b29b-3f083d080f47,4580.19,Third-Party Logistics (3PL),
SC1,72887a42-14ab-476c-89b9-711065a96804,2012-09-07 06:49:17,Cher Ehrmann,d82147e3-6ab4-4856-8817-5846d4b96aed,5265.05,Local Delivery,
SC1,cfd75882-1ce1-46a3-b0e0-19685442cc8c,2013-06-27 11:44:35,Jamie Mcclellan,93cd473a-3901-4333-89ed-bc5cbc30cfb0,3696.28,Courier Service,
SC1,6faee589-64d7-4fa0-9bb4-83aac847e641,2018-06-05 12:28:13,Marita Creagh,b9194953-90ed-4178-8b3e-21353d33b700,13001.05,Hazardous Materials,
SC1,3ee4bddd-0a4c-49b1-9703-a49452e7c759,2012-09-25 00:33:09,Orville Sheilds,45c89a4f-7e4c-4175-af8f-4fa94c61450b,3120.22,International Shipping,
SC1,d91e628f-b518-445c-9c61-13f10b5fa2d3,2018-02-25 10:26:07,Francina Bevington,0f1c341e-374b-4d83-9ba5-138b925fc19f,8708.3,Standard Pallet,
SC1,ee7a3423-b627-4a6a-acca-6eb39cc6a4a6,2019-02-15 20:46:43,Cherryl Vandine,96fd9147-3341-47b5-9c06-c87ac5dbd3ce,8846.17,Temperature-Sensitive,
SC1,366820bf-7a94-401e-821d-14e2993f7be4,2019-06-16 16:34:08,Marita Creagh,7b2fb7c6-9138-4632-b29b-3f083d080f47,6169.85,Local Delivery,
SC1,ad8f171f-9c16-4284-a7c6-50600f286368,2013-08-22 16:35:20,Kenia Romine,674228d9-891c-44c0-a551-65eddae14d76,4632.21,Pickup by Customer,
SC1,ea0531c9-0f1b-497f-8bdb-6d46a10fc6c2,2010-10-22 18:00:48,Suellen Noecker,ce8cc962-2844-4ff8-81c3-f96d5c7c4faf,1839.51,Temperature-Sensitive,
SC1,c90d18da-69aa-4f6b-867b-02daec5b8e95,2018-04-07 17:01:13,Dominica Kirkley,961ee6a8-93b8-4e3b-a73e-580408c6ca60,5823.94,Third-Party Logistics (3PL),
SC1,270db7ee-54f5-4aad-a38e-46e40f48aaf9,2015-02-09 10:32:07,Felice Cover,58539a65-9d4f-45c7-9db4-605ddbcaaf19,7386.91,Same-Day Delivery,
SC1,448d1ebb-bd0b-41ab-9629-d10d95781655,2013-03-20 05:48:14,Kristen Eckhoff,a3fa7f21-4aa0-4213-99ec-9c9ea22c6ff0,5518.11,Express Delivery,
SC1,76f9af26-e882-451d-a1b8-cfb3915f3360,2014-08-12 20:06:14,Yanira Gottfried,45c89a4f-7e4c-4175-af8f-4fa94c61450b,4089.75,Same-Day Delivery,
SC1,382c2461-206d-41c4-ae0a-9fe2a4af182a,2018-03-14 20:28:44,Kristen Eckhoff,6599d516-e90d-440d-ae83-11893d940da6,12840.17,Post Office,
SC1,469b1589-b8ee-407d-8ed6-f0bb2a31ad1f,2012-01-12 10:01:57,Alfonso Wernick,78a95b93-bb6e-4b4c-baa7-e4bb085babc2,4403.22,Hazardous Materials,
SC1,a1bf4573-352e-4a18-b0da-778421457437,2019-02-02 07:03:02,Marita Creagh,574ab7fd-d3af-4312-8e41-4dec3999506a,4345.84,Third-Party Logistics (3PL),
SC1,3997dfff-d142-4d71-9a3b-2aed8e6d72f8,2012-02-25 02:43:22,Cher Ehrmann,1fd6d23d-12b0-4b1c-ad1a-5476a73004b8,7363.84,Post Office,
SC1,a23e91d4-5784-44be-881f-66ac63f6345b,2013-08-18 10:37:21,Jena Jeans,c63234a0-5522-49d8-9536-512492515307,10202.45,Drop Ship,
SC1,a0d964d9-108f-4dc3-a740-86cb417665c0,2017-01-08 09:52:05,Rachel Onorato,78a95b93-bb6e-4b4c-baa7-e4bb085babc2,4501.63,Same-Day Delivery,
SC1,7bcdf9d1-f2eb-4c62-8588-d777878d081c,2017-10-25 10:18:04,Toby Narvaez,8e2dcfda-7ce1-40ed-a086-3d3984e27420,1910.63,Standard Pallet,
SC1,16778b8b-4297-4019-b827-b1051b68bf39,2012-12-12 08:58:46,Summer Fusaro,1fd6d23d-12b0-4b1c-ad1a-5476a73004b8,5293.86,Hazardous Materials,
SC1,d1c43089-6889-4c95-98df-749c43593be7,2017-01-03 22:33:59,Marita Creagh,df12b4c1-ffd2-4ed3-8209-af5a77681129,11954.2,Hazardous Materials,
SC1,e8aac603-6f84-4821-b55f-e111c38a22fe,2011-07-27 04:05:02,Lillian Wheaton,8e2dcfda-7ce1-40ed-a086-3d3984e27420,11590.11,Truck Transport,
SC1,e6ca0974-292c-4c46-aa9e-fd85032fced2,2019-04-27 10:18:03,Summer Fusaro,8dd0779e-0f06-44bc-b1e7-244194a2ed7a,6150.65,Truck Transport,
SC1,a6ad416e-f1f0-4b1d-b82e-ddaec829baa0,2018-08-18 21:36:30,Emmie Schuldt,96fd9147-3341-47b5-9c06-c87ac5dbd3ce,3943.24,Pickup by Customer,
SC1,c7874e64-529d-4725-a53a-8033cac65ca3,2013-07-13 00:32:41,Ward Weckerly,210ca33a-3cf8-4160-ae33-28bf9ce16db9,3686.3,Same-Day Delivery,
SC1,3ba3b05c-8a6e-4b0e-a343-29eff7b3d8a4,2011-12-12 08:37:29,Yanira Gottfried,58a1ea62-b483-4466-9ca3-75f0a4300197,3451.38,Standard Delivery,
SC1,aa746aad-a639-40fe-b23b-562bec049c72,2013-11-17 15:45:05,Irene Llanas,1fe2747d-51d0-47d4-9b33-e3dae5a73dc2,13567.91,Airfreight,
SC1,65304863-a681-45d6-822e-dd1ceb9b9c28,2016-06-21 05:15:22,Lang Winkler,7d460e34-ed49-4b8b-ac3f-6eb1e16351cc,14220.7,Next-Day Delivery,
SC1,4fb4772f-989b-4fe2-8683-5f2eb2d6315c,2012-12-16 13:34:37,Gloria Ashburn,96fa87a5-ecf6-4b7a-94bf-67e051b0a7eb,3687.71,Local Delivery,
SC1,a9dae834-f6ed-49dc-852c-22842d8d095f,2014-03-28 23:15:37,Roy Ortego,04cfba35-8948-48e1-9cc9-ca83b622c290,2098.97,Rail Transport,
SC1,7541fb06-e519-42f5-b6c0-3da7e9300a97,2014-01-04 04:03:22,Kenia Romine,734c3815-308a-4dee-a2d9-cc19791d3696,4155.46,Local Delivery,
SC1,06454b57-d021-4416-af73-2d2ec7732acf,2015-06-26 16:20:41,Gloria Ashburn,2068b011-aedf-4b5b-92be-6a41e1ccb6fc,12695.97,Hazardous Materials,
SC1,17af3678-76c5-4837-8e94-3222dcf5a6df,2014-10-02 02:18:15,Gloria Ashburn,0b41910f-3a20-4ae8-bcc3-2713fbe195f2,6413.5,Courier Service,
SC1,12ae98c7-3cbb-402d-a019-ed8cbc5971f4,2019-01-22 14:40:00,Lang Winkler,f5f498e9-7f35-4c30-b042-1fd861163e11,4119.09,Same-Day Delivery,
SC1,02bea05d-699a-4906-a1a5-384ba29b73dd,2014-01-17 06:22:48,Melissia Kreidler,12fb56cd-bcac-480f-9068-07b40f700263,3797.27,Standard Pallet,
SC1,380370a0-880c-43bc-bebf-115a701ceae3,2010-04-15 11:35:25,Tasia Snelgrove,49f27ced-4958-4a53-a8b6-94d4b4912e0e,5345.04,Temperature-Sensitive,
SC1,30952561-c376-4295-b9c3-8dd9c94503c4,2013-04-04 04:00:26,Sharyn Laxton,474589e6-4103-4fd3-8ccd-3f078fed723d,10902.56,Airfreight,
SC1,5710af51-b4f4-4f52-bf05-18717f147343,2016-06-06 20:45:11,Dalila Proehl,e5274af8-7ce9-4492-9af4-b6dc14082a1a,14755.71,Hazardous Materials,
SC1,cf2d8661-3b88-4091-bfd6-ecef7a579702,2011-10-06 07:26:12,Lessie Scheck,961ee6a8-93b8-4e3b-a73e-580408c6ca60,13950.4,Temperature-Sensitive,
SC1,b9a5727a-ad1c-4bd3-bce5-33c4106ce84e,2018-02-28 00:44:29,Tasia Snelgrove,a8f935b7-9ed4-4145-b5ff-e46455a52cfe,2501.46,Drop Ship,BILLINGBLOCK
SC1,dfc75490-9643-4f15-a5c2-f719780ccb3a,2010-06-11 00:18:23,Orville Sheilds,04bcf728-5279-412e-a4ea-8649004fa151,11378.53,Standard Pallet,
SC1,e226a662-2664-4496-a55b-add28fc141eb,2011-03-11 18:05:17,Anna Hulings,41c29662-5c18-476d-812c-68bcb8af151f,12958.08,Local Delivery,
SC1,2f564177-c5f5-4435-9842-a46659752971,2016-11-13 04:05:44,Dalila Proehl,41c29662-5c18-476d-812c-68bcb8af151f,9329.75,Express Delivery,
SC1,f0708fc2-bd51-4bde-a165-599da66f7bdf,2010-08-16 15:04:21,Ward Weckerly,86d8ea4e-ebe2-4a4e-ae5a-c9824e522d94,12428.6,Standard Delivery,
SC1,07c2d3a1-54cc-460d-8c5c-3fa7d2e4da5e,2012-01-12 18:50:00,Sharyn Laxton,78a95b93-bb6e-4b4c-baa7-e4bb085babc2,14519.53,Same-Day Delivery,
SC1,09ebd701-4d59-4d54-a4f5-67a3d18b20c8,2011-10-29 18:49:22,Emmie Schuldt,734c3815-308a-4dee-a2d9-cc19791d3696,1225.33,Airfreight,
SC1,f0604d96-fb57-4ca7-9efb-3251590efa93,2015-12-16 01:41:35,Summer Fusaro,574ab7fd-d3af-4312-8e41-4dec3999506a,13671.23,Express Delivery,BILLINGBLOCK
SC1,7b325ab5-4a4a-4e1f-a628-c2b9a71e35ae,2018-03-27 11:05:02,Karri Ptacek,c63234a0-5522-49d8-9536-512492515307,5330.19,Special Handling,
SC1,ccc3dfb6-8a9f-4059-b20e-7045b51538b4,2011-04-27 16:12:37,Kenia Romine,ce8cc962-2844-4ff8-81c3-f96d5c7c4faf,9373.42,International Shipping,BILLINGBLOCK
SC1,0089578d-4717-449f-8eac-0bac9e362f2f,2018-04-18 14:08:23,Felice Cover,961ee6a8-93b8-4e3b-a73e-580408c6ca60,10937.34,Next-Day Delivery,
SC1,90044d18-7d2a-45c7-8492-0bd0339e03e2,2013-12-26 16:54:50,Margene Hamil,286963b4-9587-470a-955e-fd6c3f1e31d3,14736.28,Express Delivery,
SC1,04615037-01b0-4915-8def-6c897b681fe4,2018-09-26 20:18:29,Dominica Kirkley,8f1c110f-a97b-43de-af7d-64b47d532e56,9857.68,Rail Transport,
SC1,71d38b15-6d2d-4455-b869-9b2f9a099a9c,2019-12-28 19:37:22,Jamie Mcclellan,34155035-62f3-49a2-9c3e-4e8290f7de30,9114.73,Rail Transport,
SC1,3c424692-062d-4f25-8cef-d8e0301c518b,2018-04-17 22:23:14,Kristen Eckhoff,474589e6-4103-4fd3-8ccd-3f078fed723d,11654.31,Post Office,
SC1,fc80a662-f347-48b0-8ece-81a4d04c629c,2011-11-08 15:19:51,Kristen Eckhoff,7afcca2e-41f2-4ed5-acd1-883e0a0175e0,4814.39,Hazardous Materials,
SC1,39fafacb-e168-4a02-b000-bed862f1ce36,2012-04-30 21:53:33,Tasia Snelgrove,574ab7fd-d3af-4312-8e41-4dec3999506a,10073.22,Pickup by Customer,
SC1,a742728b-9c19-49e8-9bf2-ff27f7c74cb0,2015-06-15 07:40:22,Leontine Sifford,58765d85-f02b-4238-90ec-87cb67bc6fb0,12051.33,Local Delivery,
SC1,49965b44-4976-43d6-983a-053e4b353d2a,2009-02-13 23:38:41,Bradford Amarante,0b41910f-3a20-4ae8-bcc3-2713fbe195f2,2354.12,Standard Delivery,
SC1,a05f06d1-0d50-44e5-9eb6-8adc28d56cf4,2016-04-19 16:45:51,Felice Cover,f062ff80-c1db-43b8-91da-e63f0b737c4c,1063.71,Local Delivery,BILLINGBLOCK
SC1,0cf41333-509f-434d-a722-64bb0ad0aac2,2014-10-20 10:56:30,Kristen Eckhoff,df12b4c1-ffd2-4ed3-8209-af5a77681129,13778.57,Rail Transport,
SC1,8b15ccc8-26b2-462e-ad68-ba51119733d8,2019-11-11 01:24:47,Tyree Decastro,6e2da7da-0e0c-4c0d-85db-edcab365394f,7867.89,Drop Ship,
SC1,e59b76de-cc59-4599-9447-6ab023804980,2012-04-29 23:38:23,Irene Llanas,530e51a3-b5bb-4750-a22f-ef1744cdc190,10745.07,Rail Transport,
SC1,3081df42-2b17-4ded-889b-b6980e66b955,2019-11-09 18:46:13,Margene Hamil,0b41910f-3a20-4ae8-bcc3-2713fbe195f2,553.44,Courier Service,
SC1,cb35f4df-fe25-48e3-9685-0679a50d0122,2010-01-31 09:27:20,Yanira Gottfried,03bbd7d4-18df-4ded-b406-73db2c76a85e,1740.79,Pickup by Customer,
SC1,88221f65-f918-423f-b85e-2001c7e574f9,2010-04-16 12:00:20,Leontine Sifford,7f1d80f0-f5d5-4e30-9372-cf8b3a36887a,5659.73,Hazardous Materials,
SC1,a4468ac8-d13c-40cd-88b3-43cbbef2ec2b,2011-08-26 07:49:01,Irene Llanas,574ab7fd-d3af-4312-8e41-4dec3999506a,1213.07,Standard Pallet,
SC1,1621f8f6-9583-4085-97e6-e53631d83cd4,2018-07-22 12:10:47,Lavonna Haymon,8f1c110f-a97b-43de-af7d-64b47d532e56,942.84,Standard Delivery,
SC1,ca6ea7db-7209-49c8-957b-758b43fb5a53,2011-07-31 00:08:07,Marita Creagh,49f27ced-4958-4a53-a8b6-94d4b4912e0e,12008.21,Standard Delivery,
SC1,1bfc30a5-3214-4bb1-885c-7e86894228ec,2017-07-23 04:29:03,Lavonna Haymon,e5274af8-7ce9-4492-9af4-b6dc14082a1a,3925.07,Hazardous Materials,
SC1,703c6447-439f-4264-9b63-85cf6a6ae1a6,2016-09-15 09:54:44,Sharyn Laxton,b2b0f5c9-5cd4-441f-8096-ba9177d70a7e,14453.62,Same-Day Delivery,
SC1,97083556-1f77-42f9-bdff-f383c0a5e1a2,2019-01-01 10:00:25,Jamie Mcclellan,96fa87a5-ecf6-4b7a-94bf-67e051b0a7eb,3342.68,Hazardous Materials,
SC1,6b6a1e22-9b37-405a-b77f-250354668b5e,2015-04-10 19:23:44,Marita Creagh,7afcca2e-41f2-4ed5-acd1-883e0a0175e0,14601.38,Post Office,
SC1,dfedfe2a-42f8-4c1b-9f29-eeddf833624a,2010-11-21 03:53:30,Lawerence Pintor,71204bb9-1a33-445b-972f-a887f0bacff0,4602.57,Third-Party Logistics (3PL),
SC1,8861a15c-6fb6-4c18-bb7e-66f9c62b471f,2013-08-07 03:11:54,Margene Hamil,4aa31116-0e81-4bea-af72-84b519107ded,1010.84,International Shipping,
SC1,fa338e59-e0e4-4a60-bbdf-caf63a7c53ef,2014-05-09 11:12:42,Kristen Eckhoff,8f1c110f-a97b-43de-af7d-64b47d532e56,9002.42,Truck Transport,
SC1,900039b4-22c3-4b84-96d6-695fe61b30d8,2014-08-09 09:39:41,Tyree Decastro,f3b93d9b-09d0-4386-beba-b7bdba319d2c,13447.96,Express Delivery,
SC1,0a845550-7a00-4d55-aa52-10c5910efc12,2011-03-30 10:58:53,Lavonna Haymon,3e7f22dc-efbf-48b4-bc34-643d186dbb62,14941.27,Third-Party Logistics (3PL),
SC1,b97d68df-fa41-4819-ae14-984d5769ea28,2009-04-04 18:19:03,Emilio Sones,e5274af8-7ce9-4492-9af4-b6dc14082a1a,14350.26,Drop Ship,
SC1,e4bb98ca-d2e7-4ed6-980a-f95aaa41be43,2013-10-17 19:07:00,Toby Narvaez,df12b4c1-ffd2-4ed3-8209-af5a77681129,8092.16,Standard Delivery,
SC1,d5007e30-d547-42c8-8611-5120fbb0343d,2016-03-03 09:28:25,Kenia Romine,7a548999-182c-4efa-9ace-f4dd1733b2ce,7176.92,Sea Freight,
SC1,9950a62b-0774-4529-80d6-527e1bfc8642,2012-10-15 18:46:53,Lillian Wheaton,3e689214-7e7f-407a-a685-0fb7f1cb33e5,1847.57,Local Delivery,
SC1,de8a8064-fada-4a2e-9f56-4d8d60f111ac,2015-12-15 05:47:39,Jena Jeans,6599d516-e90d-440d-ae83-11893d940da6,7902.23,Sea Freight,
SC1,26763732-1371-48b8-b271-28fbcf6294e4,2009-07-12 21:13:49,Alejandro Atwood,3e689214-7e7f-407a-a685-0fb7f1cb33e5,2954.85,Standard Delivery,
SC1,20eb345c-c961-4a96-8269-582fa170c988,2013-10-10 07:41:27,Roy Ortego,674228d9-891c-44c0-a551-65eddae14d76,2200.05,Hazardous Materials,
SC1,0b0cb3f8-f2a8-44b1-aadf-afd8a154f088,2019-01-29 17:17:25,Dalila Proehl,04cfba35-8948-48e1-9cc9-ca83b622c290,4577.63,International Shipping,
SC1,573d0d95-095d-4424-8558-f717422497e7,2015-08-24 22:32:49,Suellen Noecker,71204bb9-1a33-445b-972f-a887f0bacff0,2067.6,Post Office,
SC1,662ce6d2-3142-4798-8aef-8f0285a5ce12,2012-06-29 20:25:33,Rachel Onorato,81a0c186-21cf-4154-ab44-22a811b850f9,6442.38,Express Delivery,
SC1,b81a9533-af79-4009-b18e-e72e49277ebf,2011-01-13 08:51:02,Melissia Kreidler,58a1ea62-b483-4466-9ca3-75f0a4300197,12662.59,Standard Delivery,
SC1,b7526c09-3008-469d-9b59-114204e6433e,2015-05-29 05:50:49,Tyree Decastro,df1f4760-5030-4cee-bf78-49b9825ae2f8,8294.56,Hazardous Materials,
SC1,1f0d32da-3349-4de5-a1ac-6c4d9c1e0a42,2014-10-15 06:37:11,Ward Weckerly,09c6abe0-1c27-4335-8eb5-81d65159daa0,6811.38,Rail Transport,
SC1,2cbd853c-7097-4e29-a092-26c0b3146cf6,2013-05-24 22:20:15,Toby Narvaez,574ab7fd-d3af-4312-8e41-4dec3999506a,11113.23,Sea Freight,
SC1,c0770c68-9134-4ceb-9fcc-c111ea839ca0,2016-12-05 12:40:47,Jamie Mcclellan,0f1c341e-374b-4d83-9ba5-138b925fc19f,2265.82,Courier Service,
SC1,fbd6ba54-1a2d-4b50-a754-9a6735c0397d,2013-12-01 20:01:18,Dalila Proehl,8e2dcfda-7ce1-40ed-a086-3d3984e27420,7457.92,Truck Transport,
SC1,26cf7e9c-5744-45bb-8dd7-af98ed4f8b07,2019-09-01 14:03:17,Marcela Ye,3e689214-7e7f-407a-a685-0fb7f1cb33e5,1471.89,Local Delivery,
SC1,d55972db-23e3-4dbf-bbb3-d604422f08a9,2019-05-04 16:03:22,Gloria Ashburn,41c29662-5c18-476d-812c-68bcb8af151f,7332.03,Standard Pallet,
SC1,e4a56a0a-1bf2-40a6-b32e-c1f889206068,2010-06-20 00:42:02,Jena Jeans,f5f498e9-7f35-4c30-b042-1fd861163e11,1407.06,Sea Freight,
SC1,a6f6abdb-9c55-48cd-a799-e84581cbb447,2014-11-17 13:12:55,Lawerence Pintor,58765d85-f02b-4238-90ec-87cb67bc6fb0,2843.37,Express Delivery,
SC1,2a9f66c7-fdc9-4cdc-9c74-943122b19371,2014-12-21 17:56:30,Ceola Harry,7afcca2e-41f2-4ed5-acd1-883e0a0175e0,6771.12,Hazardous Materials,
SC1,b85095e4-2b6c-4bb9-90b9-2f9d1f4ca13e,2018-09-17 01:46:50,Jena Jeans,2068b011-aedf-4b5b-92be-6a41e1ccb6fc,3391.77,Next-Day Delivery,
SC1,ac04f3d5-ddaf-447a-91b3-4f816562651d,2014-04-15 08:43:26,Margene Hamil,9c352a23-55e8-4409-b732-06fa3223664d,1204.21,Express Delivery,
SC1,976e59c7-7ad7-419c-a8d7-4e8636868fc8,2016-06-05 16:37:41,Emilio Sones,0b41910f-3a20-4ae8-bcc3-2713fbe195f2,9520.22,Standard Pallet,
SC1,e0bae2d5-3e59-4cde-aea8-edafe3f2382e,2010-04-29 10:38:55,Kristen Eckhoff,ce8cc962-2844-4ff8-81c3-f96d5c7c4faf,9449.26,Drop Ship,
SC1,8ff63ed0-6c9c-4e1b-a78f-4b2a715f651f,2016-02-29 05:21:41,Tasia Snelgrove,71204bb9-1a33-445b-972f-a887f0bacff0,4060.74,Standard Delivery,
SC1,4823aa0e-a878-4b2c-820e-6281d23fe66f,2016-04-05 12:06:41,Ward Weckerly,2068b011-aedf-4b5b-92be-6a41e1ccb6fc,1383.01,Third-Party Logistics (3PL),
SC1,beb05c78-02f5-49e6-9479-9ec3e6ac9085,2019-10-12 16:46:12,Dominica Kirkley,df12b4c1-ffd2-4ed3-8209-af5a77681129,10142.42,Special Handling,
SC1,36f535d0-a4ee-4404-86ec-d67a1f129250,2015-10-08 00:42:26,Felice Cover,3c3c7c61-a6d8-40ab-9cbf-190e7fcd15e8,14938.32,Third-Party Logistics (3PL),
SC1,c64ff1aa-420f-46ba-8803-605268f2606a,2013-03-14 03:16:48,Lawerence Pintor,6e2da7da-0e0c-4c0d-85db-edcab365394f,10763.23,Airfreight,
SC1,f5028305-f406-4b94-b07e-d8d46c480aa9,2011-04-03 04:13:42,Melissia Kreidler,879b3581-2aa2-412a-aad1-507058cb69a0,13864.76,Truck Transport,
SC1,f32f84af-5996-47f3-bb65-13e21c6773a7,2013-10-09 00:41:43,Suellen Noecker,734c3815-308a-4dee-a2d9-cc19791d3696,4701.46,Drop Ship,
SC1,4022e97a-a309-45ec-9741-00cc5a5296f4,2009-10-04 12:02:07,Irene Llanas,86d8ea4e-ebe2-4a4e-ae5a-c9824e522d94,1381.99,Pickup by Customer,
SC1,d93f3e08-d7d6-48f7-8921-6a67bc6bf4e9,2018-08-03 10:26:50,Lavonna Haymon,f5f498e9-7f35-4c30-b042-1fd861163e11,3590.54,Third-Party Logistics (3PL),
SC1,286f1fbb-2450-4ece-803a-2f9ad0f2d187,2017-08-18 04:42:00,Arletta Landen,a3fa7f21-4aa0-4213-99ec-9c9ea22c6ff0,812.66,Post Office,
SC1,e6d93757-c9d6-406e-94f5-05014bfde888,2010-01-05 14:26:02,Dalila Proehl,7d460e34-ed49-4b8b-ac3f-6eb1e16351cc,8730.68,Local Delivery,
SC1,b3f8835e-b83b-4c85-b13a-2924904821cb,2009-09-11 12:05:51,Karri Ptacek,96dfc8b2-5a06-4eb6-a1fd-1078620240bb,9904.99,Express Delivery,
SC1,4accfd4e-a8b9-44d8-a5ac-710e8251cace,2011-10-08 03:40:23,Alfonso Wernick,cf60c731-5529-44c8-af7d-63b4880e2403,2995.42,Special Handling,
SC1,6067cf2d-4fcc-4768-b0b0-c5918fef064a,2015-08-17 04:14:54,Suellen Noecker,e5274af8-7ce9-4492-9af4-b6dc14082a1a,9304.78,International Shipping,
SC1,ecac7d13-30a3-4a5b-85f4-e9785f65a02d,2016-03-13 05:26:07,Alvin Malin,9a7904be-694e-4199-a336-98fc903acb70,7954.23,International Shipping,
SC1,c677fdcb-1395-4f42-bd9e-e261ed84ff00,2018-08-28 03:59:56,Alejandro Atwood,41c29662-5c18-476d-812c-68bcb8af151f,7438.56,Express Delivery,
SC1,9d9bf27b-2432-4ca1-9078-cfcd6c99933e,2017-07-16 10:20:42,Melissia Kreidler,28952b9d-fb6c-428a-b22c-abc9c57b6619,6138.41,Hazardous Materials,
SC1,d5a12fb8-72f4-4b72-b98d-1accef13e139,2014-05-27 10:46:52,Ceola Harry,c8f2b801-4d82-4554-806d-3f2b71328d3e,11085.18,Sea Freight,
SC1,74a5a040-6e72-4714-99fc-ea50bca15462,2017-08-22 09:30:04,Bradford Amarante,f5f498e9-7f35-4c30-b042-1fd861163e11,5346.72,Post Office,
